"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_name","forummImpact_DD","forummGoals_DD","forummProgress_DD","forummFairness_DD","forummProcess_DD","forummBarriers_DD","forumImpact_RMSI","forumGoals_RMSI","forumProgress_RMSI","forumFairness_RMSI","forumProcess_RMSI","forumBarriers_RMSI","forumImpact_CSLRSP","forumGoals_CSLRSP","forumProgress_CSLRSP","forumFairness_CSLRSP","forumProcess_CSLRSP","forumBarriers_CSLRSP","forumImpact_CRHMP","forumGoals_CRHMP","forumProgress_CRHMP","forumFairness_CRHMP","forumProcess_CRHMP","forumBarriers_CRHMP","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"29","R_3jZMBrBJ3Sa6EBg","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of several organizations","ace basin national estuarine research reserve","federal government","Coastal Training Program Coordinator ","Scientific Research,Project Management,Outreach/Communication,Other: Training, Stakeholder engagement facilitation ",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County","Well-Informed","Well-Informed","Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Other: Stakeholders repeatedly ask me for expert advice on what they are supposed to do with the scientific information they receive. Maybe clear pathways to action? I'm not sure what to call this. ","Too many to count! I have over 50 bookmarked. I train people in this stuff and try to help stakeholders match with the right resources. ","They have been felt for a while already","Water Supply Infrastructure, Waste and Stormwater, Public Health","Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise; Other","Sharing information with other organizations,Training personnel from other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Other: Attended a lot of meetings ","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Lack of awareness about other organizations’ activity,Other: Perceptions that we aren't supposed to talk about SLR or SLR solutions because we work for the state. ","Too Little","Other,Other,Other, SC Statewide Strategic Resilience Plan (I feel like I represent the tri-county to some extent(, SC Marsh Stakeholder Collaborative, Hosted various training events that incorporated SLR to some extent ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA Digital Coast (to provide training), NOAA OCM","SCDNR, SCDHEC, SC Office of Resilience, SC SeaGrant","Pretty much every local regional/government has attended training events I hosted","Clemson Extension ","Citadel Climate Center, Charleston Resilience Network"
"30","R_Ca8In5J2dkpmY81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sharing information with other organizations,Engaging in joint planning with other organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","R_4TmgufsCaPDCjQZ","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of several organizations","town of mount pleasant","local government","Floodplain Program Manager","Policy Analysis,Governmental Affairs,Project Management,Advocacy,Outreach/Communication","City of Folly Beach and Charleston County Government","Town of Mount Pleasant (Charleston County)","Very Well Informed","Very Well Informed","Somewhat Concerned","Very Concerned","High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Update existing reports on sea-level rise for the whole tri-county area","Too many to count (at least 5)","They are starting to be felt right now","Waste and Stormwater, Coastlines, Affordability of Housing","Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Organizing public meetings jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Lack of experience collaborating with other organizations in the tri-county area,Lack of an overarching plan","Too Little","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,"6","Somewhat agree","Somewhat disagree","5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The process is controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,"7","Somewhat agree","Somewhat disagree","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants don't attend meetings often enough,The initiative lacks authority to produce binding decisions","FEMA, USACE","SC DNR, SC DHEC-OCRM, SC EMD, SCOR","Charleston County, BCD-COG","Charleston Resilience Network, SC Sea Grant, ASFPM, SC Association of Hazard Mitigation",NA
"32","R_YQy8dUg9J594ZFf","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","college of charleston","education/academic institution","Faculty Affiliate","Policy Analysis,Project Management,Outreach/Communication","S.C. Sea Grant Consortium","All of Charleston County,City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),City of North Charleston (Charleston County),Town of Edisto Beach (Charleston County)","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise","As many credible ones as I could/can get my hands on... (don't really get this question)","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Distrust among stakeholders,Lack of political leadership of elected officials,Lack of an overarching plan,Lack of awareness about other organizations’ activity,Lack of relationships with community-based organizations","Too Little","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan","8","Somewhat agree","Somewhat agree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants didn't attend meetings often enough,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,"9","Strongly agree","Strongly agree","9","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,"Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,"NOAA NOS, NOAA OAR, NOAA NWS, DHS, FEMA","SCSGC, SCDNR, SCDHEC-OCRM, SCDHEC-EQC","City of Charleston, County of Charleston","SC Realtors Assn, Trident Realtors Assn, Southeast and Caribbean Disaster Resilience Partnership",NA
"33","R_tLErbWwCRmzTSzT","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","R_1M4VR3CdOLYRt5f","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","edisto island open land trust","non-profit/non-governmental organization","Land Protection Specialist","Planning,Scientific Research,Project Management,Outreach/Communication,Other: Property Site Assessments","N/A","Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),Town of Edisto Beach (Charleston County)","Well-Informed","Somewhat Informed","Somewhat Concerned","Very Concerned","High","Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Other: Extreme resolution, locally tailored topographical and hydrological models calibrated with on the ground data.","2","They are starting to be felt right now","Ecosystems Health, Coastlines, Other","Pass a tax measure at the local/county/state level to address sea-level rise; Establish a new regional authority to address sea-level rise in the area; Other","Sharing information with other organizations,Engaging in joint planning with other organizations","Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of an overarching plan,Lack of awareness about other organizations’ activity","Too Little","Other, Gaylord and Dorothy Donnelley Foundation Symposiums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A","Charleston County","GDDF","Town of Meggett, Town of Edisto Beach, The Nature Conservancy, Coastal Conservation League"
"35","R_28P3FAgCe4euWvb","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","R_BzjHR5j0SHOS7IJ","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","sc ports authority","state government","SVP Community Engagement","Executive Management,Policy Analysis,Governmental Affairs,Advocacy,Outreach/Communication","City of Charleston 3x3 Advisory Committee","All of Charleston County,City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),City of North Charleston (Charleston County)","Well-Informed","Well-Informed","Concerned","Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates","1-3","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Energy Infrastructure","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations","Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen","Far Too Little","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","R_3HYzAfQtLuoOPgv","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","city of charleston","local government","Annexation Planner","Policy Analysis,Planning,Outreach/Communication,Other: Annexation, Zoning",NA,"City of Charleston (Charleston County)","Well-Informed","Somewhat Informed","Concerned","Concerned","Fairly High","Direct relationship with scientists working on sea-level rise,Update existing reports on sea-level rise for the whole tri-county area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","R_1LA1guxneNQ7O6U","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","Planning Manager","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication",NA,"City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Concerned","Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Update existing reports on sea-level rise for the whole tri-county area,Availability of a source of translation of scientific knowledge into cost estimates",NA,"They are starting to be felt right now","Transportation Infrastructure, Water Supply Infrastructure, Other","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Pass a tax measure at the local/county/state level to address sea-level rise; Establish a new regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Uncertainty about how quickly sea-level rise will happen","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan",NA,"Somewhat agree","Somewhat agree","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants didn't attend meetings often enough","7","Somewhat agree","Somewhat agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants don't attend meetings often enough","5","Somewhat agree","Somewhat agree","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"5","Somewhat agree","Somewhat agree",NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"Corps","none","none","environmental and preservation organizations",NA
"39","R_9p1ykyaieF4u4Mx","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of several organizations","charleston county","local government",NA,"Policy Analysis,Planning,Outreach/Communication","No","All of Charleston County,Town of James Island (Charleston County),Town of Seabrook Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),Rockville (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise,Stakeholder agreement on the interpretation of scientific information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","R_1DBjLAcBUDbN8YK","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","town of sullivan's island","local government","Town Administrator","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication","No","Sullivan's Island (Charleston County)","Very Well Informed","Somewhat Informed","Concerned","Very Concerned","Not Very High","Creation of a single platform of available scientific information,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates","not sure there is a single source available to me nor do i use the best available data","They are starting to be felt right now","Waste and Stormwater, Coastlines, Property Values","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Establish a new regional authority to address sea-level rise in the area; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Lack of political leadership of elected officials,Lack of availability of adequate scientific information,Lack of awareness about other organizations’ activity,Permitting obstacles,Lack of public support for policies addressing sea-level rise,Lack of relationships with community-based organizations","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEMA, ","SC Emergency Management Division, SC Office of Resilience ","None","None",NA
"41","R_3FX8tdbcud8PjW3","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of charleston","local government","Vice President, Program Management, Water Business Line, AECOM","Executive Management,Policy Analysis,Planning,Project Management,Advocacy,Outreach/Communication","No","City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Concerned","Concerned","Low","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise,Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Stakeholder agreement on the interpretation of scientific information","Many","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Promote projects with different or innovative design solutions; Empower an existing regional authority to address sea-level rise in the area","Implementing projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations","Other: N/A","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan,Other, City of Charleston Stormwater Project planning and design","5",NA,"Somewhat agree","5","Don't know","The initiative lacks authority to produce binding decisions,Other: There is false premise that the Dutch have superior knowledge than the scientific/engineering community in North America.","6","Somewhat agree","Somewhat agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views","9","Strongly agree","Strongly agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There are no identifiable barriers","9","Somewhat agree","Somewhat agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There are no identifiable barriers","FEMA, US Corps of Engineers","Multiple states","City of Charleston Stormwater Services","SC Aquarium, Charleston Resilience Network, Coastal Conservation League",NA
"42","R_9udt5ByR84jFOfL","No involvement",NA,"explore charleston","other",NA,"Executive Management,Planning,Project Management","no","All of Charleston County,Daniel Island (Berkeley County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","n/a","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","R_3izrAfDknsmQbIl","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","sc state house","state government","Representative","Other: Policy Development ","Yes, City of Folly Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","R_3kAMxrGUDqN0Zw8","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","R_Ug89v795tTr8TOV","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of several organizations","charleston medical district","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","R_Dl8Qng842txld8l","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","kiawah island architectural review board","other","Director","Executive Management",NA,"Town of Kiawah Island (Charleston County)","Somewhat Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Stakeholder agreement on the interpretation of scientific information","12","They have been felt for a while already","Historically Underserved Communities, Availability of Housing, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out advocacy activities jointly with other organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","R_2v2hpnarLNTMnQv","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","clemson","education/academic institution",NA,"Planning,Scientific Research,Project Management,Outreach/Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","R_s73WDqRPafGPBIt","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","Director of Public Works / Building Official","Executive Management,Planning,Governmental Affairs","No","City of Folly Beach (Charleston County)","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates","3","They are starting to be felt right now",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","R_2PhyuzK7E3eNbyO","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","town of seabrook island","local government",NA,"Planning","No","Town of Seabrook Island (Charleston County)","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Very Concerned","Fairly High","Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise,Increased public availability of scientific knowledge",NA,"They are starting to be felt right now","Transportation Infrastructure, Waste and Stormwater, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Lack of political leadership of elected officials,Uncertainty about how quickly sea-level rise will happen,Lack of availability of adequate scientific information,Lack of awareness about other organizations’ activity","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","R_33w0WFv9It5t2KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","R_vISHLeavwguT5w5","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of several organizations","seamonwhiteside","consulting/research","Civil Engineering Division Head","Planning,Project Management,Other",NA,"All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),City of Hanahan (Berkeley County),Daniel Island (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),City of North Charleston (Charleston County),Ladson (Charleston County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Update existing reports on sea-level rise for the whole tri-county area,Stakeholder agreement on the interpretation of scientific information","5 or more","They have been felt for a while already","Transportation Infrastructure, Historically Underserved Communities, Availability of Housing","Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Focus attention on the impact of sea-level rise on historically underserved communities in the area; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations","Scarce budgetary/staff resources,Knowledge of staff,Lack of an overarching plan,Lack of awareness about other organizations’ activity,Lack of relationships with community-based organizations","Far Too Little","Dutch Dialogues Report (2019)","5","Somewhat agree","Somewhat agree","5","For most decisions, one group’s gain involves another group’s loss.","Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none","none","Mount Pleasant Engineering, Charleston County Public Works, City of Charleston TRC ","Charleston Area Justice Ministry",NA
"52","R_2ZZWxfyaiZ3u8zT","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","charleston waterkeeper","non-profit/non-governmental organization","Executive Director","Executive Management,Policy Analysis,Planning,Scientific Research,Governmental Affairs,Project Management,Advocacy,Outreach/Communication","No","All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise","5+","They have been felt for a while already","Waste and Stormwater, Historically Underserved Communities, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Establish a new regional authority to address sea-level rise in the area; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations","Scarce budgetary/staff resources","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"City of Charleston",NA,"Coastal Conservation League, Southern Environmental Law Center",NA
"53","R_2uwT1TNl78991eG","A part of my work, with routine involvement","Yes, I am involved on behalf of several organizations","bcdcog","regional government","Regional Planner","Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Low","Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information,Other: The challenge is not the availability of information; it’s the low value people in BCD region place on scientific data in the first place. ","Many","They have been felt for a while already","Water Supply Infrastructure, Waste and Stormwater, Coastlines","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure; Promote projects with different or innovative design solutions","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of public support for policies addressing sea-level rise","About Right","Charleston Regional Hazard Mitigation Plan,Other,Other, Berkeley County Hazard Mitigation Plan, Newly required “Resilience” element for comprehensive plans ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","Somewhat agree","Somewhat agree","8","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants don't attend meetings often enough,Participants do not share common views,The initiative lacks authority to produce binding decisions,Lack of resources","FEMA, NOAA","-","Any in BCD region ","-",NA
