"","ResponseId","involve","org","org_type","tasks","location","concernShort","concernLong","top_sector","collabActivities","barriers","forum_art","forum_baycan","forum_crc","forum_da","forum_sfep","forum_ccccl","forum_ccse","forum_sccc","forum_rpp","forum_sr","forum_sjrcc","forum_sbrr","forum_yccac","forum_ycrrc","forum_ryc","forum_other","forumProgress_art","forumProgress_baycan","forumProgress_crc","forumProgress_da","forumProgress_sfep","forumProgress_ccccl","forumProgress_ccse","forumProgress_sccc","forumProgress_rpp","forumProgress_sr","forumProgress_sjrcc","forumProgress_sbrr","forumProgress_yccac","forumProgress_ycrrc","forumProgress_ryc","forumProgress_other","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"11","R_1D7xRy2Srb9ELxA","A part of my work, with routine involvement","buena vista rancheria of me-wuk indians","Tribal Entity","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Advocacy; Outreach or communication; Community leadership",NA,"Not at all concerned","Not at all concerned","Ecosystem health; Other","Signing a formal agreement with another organization; Sharing information with other organizations; Training personnel from other organizations; Streamlining permitting applications jointly with other organizations; Sharing personnel with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Lack of effective collaboration among interested parties; Lack of political leadership; Insufficient financial resources","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,"Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department Of The Interior","California Department Of Water Resources",NA,"Wilton Rancheria; Shingle Springs Band Of Miwok Indians; Yocha Dehe Wintun Nation; Restore The Delta",NA
"12","R_1DlOjpj9y6Glvwt","A part of my work, with occasional involvement","unknown_290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","R_1EJU7I2M2tQuunD","A major aspect of my work for 1-5 years","california department of water resources","State government","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication",NA,"Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Flood management","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations","Permitting obstacles; Lack of political leadership; Insufficient financial resources","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Army Corps Of Engineers; National Marine Fisheries Service; United States Fish And Wildlife Service; United States Bureau Of Reclamation; Federal Emergency Management Agency","California Department Of Fish And Wildlife; Delta Stewardship Council; Delta Protection Commission; Central Valley Flood Protection Board","Delta Conservancy; San Joaquin Area Flood Control Agency; Sacramento Area Flood Control Agency; Reclamation District #1600; Reclamation District #108; Reclamation District #2082; Reclamation District #537; Reclamation District #1500; Reclamation District #108; Sacramento Area Flood Control Agency; Solano County; San Joaquin Area Flood Control Agency","Yocha Dehe Wintun Nation; Shingle Springs Band Of Miwok Indians; Nisenan; Winnemem Wintu Tribe; River Partners; American Rivers; Environmental Defense Fund; University Of California Davis; California State University Sacramento; University Of California Berkeley; Lawrence Livermore National Laboratory; River Partners",NA
"14","R_1Ei17q3GcHrz3KF","A part of my work, with occasional involvement","east county community leaders network","Multi-stakeholder group","Project or program management; Advocacy; Community leadership","East Contra Costa County","Moderately concerned","Very concerned","Environmental justice 
communities; Availability of housing; Public health",NA,"Lack of effective collaboration among interested parties; Insufficient technical expertise; Unequal capacity of partners to participate in collaborative planning","No","Yes","No","No","No",NA,"Yes","No","No","No","No","No","No","No","No",NA,NA,"Somewhat agree",NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","R_1Fm3FKiXCrWECM8","A major aspect of my work for 1-5 years","contra costa county","Local government (cities, counties)","Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Advocacy; Outreach or communication; Community leadership",NA,"Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Water suppply reliability","Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Insufficient financial resources; Insufficient technical expertise; Unequal capacity of partners to participate in collaborative planning","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Adapting to Rising Tides","Agree",NA,NA,"Disagree","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bay Conservation And Development Commission; Ocean Protection Council; Delta Stewardship Council; California Department Of Water Resources; Governor's Office Of Planning And Research","Association Of Bay Area Governments; Metropolitan Transportation Commission; Sacramento County; San Joaquin County; Solano County; Yolo County; City Of Martinez; City Of Oakley; City Of Pittsburg; City Of Antioch; Contra Costa Water District; Diablo Water District; East Bay Regional Parks District; Ironhouse Sanitary District; Byron-Bethany Irrigation District; Contra Costa Resource Conservation District","Confederated Villages Of Lisjan; California Department Of Parks And Recreation: Division Of Boating And Waterways; The Watershed Project; Greenbelt Alliance; San Francisco Estuary Partnership; The Bay Institute; University Of California Davis; Dcc Engineering","Railroads (Union Pacific, BNSF); CalTrans; Refineries ; Allied Waste and other Garbage Companies"
"16","R_1H5hspMa84U6zgg","A part of my work, with occasional involvement","luhdorff and scalmanini consulting engineers","Education/Consulting/Research","Technical advising/analysis",NA,"Very concerned","Very concerned","Public health; Agricultural industry; Water supply reliability","Publishing reports or other publicly available documents jointly with other organizations","Adaptation is not my organization’s main focus","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","R_1HN3pnUrRfo0jcY","A part of my work, with occasional involvement","city of folsom","Local government (cities, counties)","Planning and design; Project or program management; Outreach or communication","Sacramento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","R_1HVm0d6AaBJS2PL","A part of my work, with occasional involvement","california state university sacramento","Education/Consulting/Research","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication; Service provision",NA,"Very concerned","Very concerned","Agricultural industry; Flood management; Water supply reliability","Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations","Limited authority; Lack of political leadership; Unequal capacity of partners to participate in collaborative planning",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,"Somewhat agree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Fish And Wildlife Service; National Marine Fisheries Service; United States Army Corps Of Engineers","California Department Of Water Resources; California Department Of Conservation; State Water Resources Control Board; California Department Of Food And Agriculture","City Of Davis; Sacramento County; Yolo County; Solano County; City Of Sacramento","Paskenta Band Of Nomlaki Indians; Yocha Dehe Wintun Nation; Maidu; State Water Resources Control Board: Central Valley Region; Reclamation Disricts; Friends Of The Delta; Environmental Council Of Sacramento; The Nature Conservancy; Sustainable Conservation; Environmental Defense Fund",NA
"19","R_1HYA2dXGsKs5LZA","A part of my work, with occasional involvement","unknown_295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","R_1HwgLeqHvPMajjN","A part of my work, with occasional involvement","yolo county","Local government (cities, counties)","Executive management 
(i.e. top management)","Yolo","Moderately concerned","Moderately concerned","Public health; Agricultural industry; Flood management","Engaging in joint planning with other organizations; Sharing personnel with other organizations","Adaptation is not my organization’s main focus; Limited capacity to acquire funding; Insufficient financial resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","R_1Iitk3NWGXV7svD","A part of my work, with occasional involvement","sierra nevada conservancy","Regional government","Executive management 
(i.e. top management); Government relations; Outreach or communication","Other region (please specify): Upper watersheds that feed the delta","Moderately concerned","Very concerned","Ecosystem health; Biodiversity; Water supply reliability","; Nothing","Insufficient financial resources","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","R_1J2hzpx8Bktcwpm","A major aspect of my work for 1-5 years","city of sacramento","Local government (cities, counties)","Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication","Sacramento","Somewhat concerned","Moderately concerned","Energy infrastructure; Environmental justice 
communities; Economic growth","Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Limited authority; Limited capacity to acquire funding; Insufficient financial resources","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No",NA,NA,NA,"Agree",NA,NA,NA,NA,"Agree","Strongly Agree",NA,NA,NA,NA,NA,NA,NA,"United States Environmental Protection Agency; Federal Highway Administration; United States Department Of Agriculture","California Department Of Energy; Governor's Office Of Planning And Research; California Natural Resources Agency; California Department Of Forestry And Fire Protection; California Energy Commission","Sacramento Area Council Of Governments; Sacramento Area Flood Control Agency; Sacramento Metropolitan Air Quality Management District; Sacramento Municipal Utility District; Sacramento Area Sewer District; Sacramento County; City Of Elk Grove; Yolo County; City Of Folsom; City Of Rancho Cordova","Various Property Based Improvement Districts; Environmental Council Of Sacramento; Capital Region Climate Readiness Collaborative; Valley Vision; Civicwell; Sacramento Tree Foundation; University Of California Davis; California State University Sacramento; Cosumnes River College; Lawrence Berkeley National Laboratory",NA
"23","R_1JxptT2xHTz7e01","A part of my work, with occasional involvement","sacramento metropolitan air quality management district","Service Special District","Prefer not to say",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","R_1LdYd2lJ36uOpP3","A part of my work, with occasional involvement","state water resources control board","State government","Policy advising/analysis; Technical advising/analysis; Project or program management; Outreach or communication",NA,"Very concerned","Very concerned","Transportation infrastructure; Ecosystem health; Water supply reliability","Sharing information with other organizations; Engaging in joint planning with other organizations","Limited authority; Lack of political leadership; Insufficient financial resources","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,"Agree",NA,NA,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Forest Service; United States Environmental Protection Agency","California Air Resources Board; California Natural Resources Agency; California Department Of Fish And Wildlife; Bay Conservation And Development Commission; Delta Stewardship Council; Governor's Office Of Planning And Research; Strategic Growth Council",NA,"Community Water Center; Sierra Club; Pacific Institute; University Of California Irvine; University Of California Davis; University Of California Berkeley",NA
"25","R_1ONSe7cRNJdKkKa","A part of my work, with routine involvement","assemblymember lori wilson district 11","State government","Outreach or communication",NA,"Very concerned","Very concerned","Transportation infrastructure; Ecosystem health; Water supply reliability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","R_1OUQ5scrP8KlqpZ","A major aspect of my work for 1-5 years","conservation farms and ranches","Agriculture","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Scientific research; Government relations; Project or program management; Advocacy; Outreach or communication; Community leadership","All delta ","Somewhat concerned","Somewhat concerned","Agricultural industry; Flood management; Water supply reliability","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Training personnel from other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Sharing personnel with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Lack of effective collaboration among interested parties; Lack of public support for climate adaptation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","R_1OrAEnriaI9srUk","A part of my work, with routine involvement","individual_34",NA,"Policy advising/analysis; Planning and design; Government relations; Advocacy; Outreach or communication","Sacramento","Somewhat concerned","Moderately concerned","Ecosystem health; Environmental justice 
communities; Biodiversity","Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations","Limited authority; Lack of political leadership; Unequal capacity of partners to participate in collaborative planning","No","No","Yes",NA,"No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No",NA,NA,NA,"Disagree",NA,NA,NA,NA,"Somewhat agree","Agree",NA,NA,NA,NA,NA,NA,NA,"United States Environmental Protection Agency; United States Forest Service","California Environmental Protection Agency; California Energy Commission; California Building Standards Commission","Sacramento Area Council Of Governments; City Of Sacramento; Various Parks Districts Across Sacramento County; Sloughhouse Resource Conservation District","Centers For Disease Control And Prevention; Tohono O'odham Nation; United States Environmental Protection Agency: Regional Tribal Operations Committee; Sacramento County: Office Of Emergency Services; Sacramento County: Department Of Public Health; Sacramento County: Clerk Recorder; Sacramento County: Boards And Commissions; Sierra Club: Sacramento; Environmental Council Of Sacramento; Boards And Commissions Leadership Institute; Democratic Socialists Of America; 350 Sacramento","CRCRC Capital Region Climate Readiness Coalition"
"28","R_1P7HAbjTtCOU3xN","A part of my work, with routine involvement","delta stewardship council","State government","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Scientific research; Government relations; Project or program management; Outreach or communication; Service provision","Region 1; Region 2; Region 3; Region 4","Very concerned","Very concerned","Ecosystem health; Public health; Water supply reliability","Implementing projects jointly with other organizations; Carrying out research projects jointly with other organizations; Sharing information with other organizations; Training personnel from other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Lack of political leadership; Limited capacity for community engagement; Insufficient financial resources","No","No","No","Yes",NA,"No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Bureau Of Reclamation; United States Fish And Wildlife Service; National Oceanic And Atmospheric Administration; United States Environmental Protection Agency; United States Geological Survey","California Department Of Water Resources; State Water Resources Control Board; California Department Of Fish And Wildlife","Delta Conservancy; Contra Costa Water District; Metropolitan Water District Of Southern California; Sacramento County; San Joaquin County; Contra Costa County; Solano County; Yolo County","Shingle Springs Band Of Miwok Indians; Buena Vista Rancheria Of Me-Wuk Indians; United Auburn Indian Community; Restore The Delta; The Bay Institute; Kearns And West; Cramer Fish Sciences; Most Ucs; Most California State Universitys; Private Universities; Lawrence Berkeley National Laboratory","Other community based groups we're not aware of"
"29","R_1QDmDuJWeC7LQNZ","A part of my work, with routine involvement","national oceanic and atmospheric administration","Federal government","Technical advising/analysis; Planning and design; Project or program management; Outreach or communication",NA,"Moderately concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Water supply reliability","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Joining or supporting litigation or other judicial processes","Limited authority; Lack of effective collaboration among interested parties; Unequal capacity of partners to participate in collaborative planning","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Sacramento River Science Partnership",NA,NA,NA,"Somewhat agree","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree: SRSP","United States Bureau Of Reclamation; United States Fish And Wildlife Service; United States Geological Survey","California Department Of Water Resources; California Department Of Fish And Wildlife; State Water Resources Control Board","Reclamation District #108; Tehama Colusa Canal Authority","Winnemem Wintu Tribe; Trout Unlimited; California Trout; Anchor Qea; Cramer Fish Sciences; Icf International; National Marine Fisheries Service: Southwest Fisheries Science Center; University Of California Davis; California State University Chico",NA
"30","R_1Rdy50nv8ZG2FLV","A part of my work, with occasional involvement","alameda county water district","Local government (cities, counties)","Policy advising/analysis; Technical advising/analysis; Planning and design; Project or program management; Advocacy",NA,"Moderately concerned","Very concerned","Ecosystem health; Flood management; Water supply reliability","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Sharing information with other organizations; Engaging in joint planning with other organizations; Preparing grant/funding proposals jointly with other organizations","Limited authority; Lack of political leadership; Lack of adequate scientific information","Yes",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Department Of Water Resources; Delta Stewardship Council","City Of Fremont; City Of Union City; City Of Newark; Union Sanitary District",NA,NA
