"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_1","forum_2","forum_3","forum_4","forum_5","forumGoals_5","forumProgress_5","forumProcess_1","forumProcess_2","forumProcess_3","forumProcess_4","forumProcess_5","forumBarriers_1","forumBarriers_2","forumBarriers_3","forumBarriers_4","forumBarriers_5","forumFairness_1","forumFairness_2","forumFairness_3","forumFairness_4","forumFairness_5","forumImpact_1","forumImpact_2","forumImpact_3","forumImpact_4","forumImpact_5","collaboratorState","missing_collaborators"
"18","R_3DijlWCuYOu7eA4","A part of my work, with occasional involvement","Yes, I am involved on behalf of several organizations","urban institute","No-profit organization/Non-governmental organization","Senior Fellow","Policy analysis,Scientific research",NA,NA,"Somewhat informed","Somewhat informed","Not concerned","Somewhat concerned","Fairly high level of agreement concerning the risks","Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Increase availability of data regarding sea level rise vulnerability,Training policy-makers in the basic science concerning sea level rise","Flood risk maps,Sea level rise projections,Demographic data","In the next few decades","Water supply infrastructure,Disadvantaged communities,Wastewater and storm water infrastructure","Create a regional Sea Level Rise adaptation plan,Complete vulnerability assessments for all 9 counties,Focus attention on the impact of sea level rise on disadvantaged communities in the Bay Area","Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Publishing reports or other publicly available documents jointly with other organizations","Insufficient financial resources","Too little","Rebuild by Design Bay Area","100 Resilient Cities (SF, Oakland, Berkeley)",NA,NA,NA,"Somewhat agree","Disagree","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.",NA,NA,NA,"The initiative lacks authority to produce binding decisions","The available funding is not sufficient",NA,NA,NA,"8","6",NA,NA,NA,"5","4",NA,NA,NA,"Environmental Protection Agency (EPA), Governor's Office of Research and Planning, Department of Housing and Community Development","California Environmental Justice Alliance"
"19","R_30xfbm0iFFRcRAi","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","R_28Y55K2Hc5Zq6Rq","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","sierra club","Environmental Group","Volunteer","Policy analysis,Planning,Advocacy,Outreach/Communication",NA,"Point Richmond,San Leandro,Wildcat,East Bay Crescent,Pinole,Carquinez South,Walnut,Port Chicago,Montezuma Slough,Suisun Slough,Carquinez North,Napa - Sonoma,Petaluma,Novato,Gallinas,San Rafael,Golden Gate,Colma - San Bruno,San Mateo,Belmont - Redwood,San Francisquito,Santa Clara Valley,Mowry,Alameda,Stevens,Corte Madera,Richardson,Mission - Islais,Yosemite - Visitacion,San Lorenzo","Very well-informed","Well-informed","Very concerned","Very concerned","Not very high level of agreement concerning the risks","Dissemination of scientific information in plain language to the general public,Dissemination of scientific information in plain language to policy stakeholders,Training policy-makers in the basic science concerning sea level rise","Flood risk maps,Sea level rise projections,Other (please explain in the text box): News articles such as about flood insurance and mortgages.","They are starting to be felt right now","Transportation infrastructure,Availability of housing,Wastewater and storm water infrastructure","Create a regional Sea Level Rise adaptation plan,Complete vulnerability assessments for all 9 counties,Focus attention on the impact of sea level rise on disadvantaged communities in the Bay Area","Sharing information with other organizations","Lack of an overarching plan to address sea level rise in the Bay Area,Lack of public support for policies addressing sea level rise","Neither too much nor too little",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"State of California"
"21","R_2P5qMBsk73BTzzs","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","R_Odt1lar8uwZAuA1","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","capitol corridor joint powers authority","Regional government","Manager of Planning","Policy analysis,Planning,Project management",NA,"Point Richmond,San Leandro,Wildcat,East Bay Crescent,Pinole,Carquinez South,Montezuma Slough,Suisun Slough,Santa Clara Valley,Mowry,Alameda,San Lorenzo","Very well-informed","Well-informed","Somewhat concerned","Very concerned","Fairly high level of agreement concerning the risks","Dissemination of scientific information in plain language to the general public,Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Other (please explain in the text box): Resource center for governance, policy, and law concerning adapation to sea level rise","Flood risk maps,Sea level rise projections","In the next few decades","Transportation infrastructure,Coastal erosion,Wastewater and storm water infrastructure","Create a regional Sea Level Rise adaptation plan,Empowering an existing regional agency to address sea level rise in the Bay Area,Create a collaborative partnership between existing agencies and stakeholders (regional, county, local) to address sea level rise in the Bay Area","Sharing information with other organizations,Engaging in joint planning with other organizations,Outreach activities regarding new sea level rise-related projects jointly with other organizations","Insufficient human resources to analyze relevant information,Lack of an overarching plan to address sea level rise in the Bay Area,Other (please explain): Lack of any one authority to organize and responsd to adaptation responses","Neither too much nor too little","Adapting to Rising Tides","Resilient by Design","CCJPA Vision Plan",NA,NA,"Strongly agree","Disagree","For most decisions, most stakeholders can benefit as long as they can develop a common policy","For most decisions, most stakeholders can benefit as long as they can develop a common policy","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.",NA,NA,"The initiative lacks authority to produce binding decisions","The initiative lacks authority to produce binding decisions","The available funding is not sufficient",NA,NA,"10","7","3",NA,NA,"10","7","9",NA,NA,"Caltrans",NA
"23","R_3KO2ljVzp9MfnRr","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","R_2e9EcaGEMrqnDKk","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","capitol corridor joint powers authority","Regional government","Engineering Officer","Planning,Project management",NA,"San Leandro,Wildcat,East Bay Crescent,Pinole,Walnut,Suisun Slough,Santa Clara Valley,Mowry,Alameda,San Lorenzo","Somewhat informed","Somewhat informed","Concerned","Somewhat concerned","Low level of agreement concerning the risks","Increased stakeholders' familiarity with scientific tools (e.g. sea level rise forecasting models),Dissemination of scientific information in plain language to the general public,Training policy-makers in the basic science concerning sea level rise","Flood risk maps,Sea level rise projections,Shoreline change data,Vulnerability assessments,Climate and weather information","They are starting to be felt right now","Transportation infrastructure,Availability of housing,Wastewater and storm water infrastructure","Create a regional Sea Level Rise adaptation plan,Pass local tax measures to address sea level rise,Create, in the short term, a ""visioning process"" where stakeholders collaboratively identify the principles, goals and actions for addressing sea level rise in the Bay Area","Sharing information with other organizations,Engaging in joint planning with other organizations","Lack of an overarching plan to address sea level rise in the Bay Area,Permitting obstacles,Lack of public support for policies addressing sea level rise","Too little",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","R_3himWRr4PHGyBuN","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","R_RUNJrJvgUMlMSA1","No involvement,A part of my work, with occasional involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","R_2y1NDoZKuuLZ0wT","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization",NA,"Other","Senior planner and designer","Planning,Other (please explain in the text box): Design","City of Emeryville","East Bay Crescent,Mission - Islais","Somewhat informed","Somewhat informed","Concerned","Concerned","Fairly high level of agreement concerning the risks","Increased stakeholders' familiarity with scientific tools (e.g. sea level rise forecasting models),Dissemination of scientific information in plain language to the general public,Creation of a single online platform where all available scientific information on sea level rise is made available to policy-makers and stakeholders","Sea level rise projections","They are starting to be felt right now","Transportation infrastructure,Property values,Commercial developments","Create a single information platform concerning the status of projects related to sea level rise in the Bay Area, cost projections and scenarios,Promoting projects with different or innovative design solutions,Empowering an existing regional agency to address sea level rise in the Bay Area","Sharing information with other organizations,Carrying out research projects jointly with other organizations,Other (please specify): Developed design solutions","Uncertainty about the future extent of sea level rise,Lack of leadership within my organization","Too little","City of Emeryville Planning Commission ","India Basin Mixed-use Development Design ","SF Seawall redevelopment",NA,NA,"Agree",NA,"Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.",NA,NA,NA,NA,NA,NA,NA,"9","7","8",NA,NA,"9","7","9",NA,NA,NA,NA
"28","R_1mwO6m4sFIfynFE","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","R_OwF1QU5rJYvj237","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","midpeninsula regional open space district","Environmental Special District","Grants Specialist","Project management,Other (please explain in the text box): grants",NA,"San Mateo,Belmont - Redwood,San Francisquito,Stevens","Somewhat informed",NA,"Concerned",NA,"Not very high level of agreement concerning the risks","Scientists' participation in policy meetings,Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Creation of a single online platform where all available scientific information on sea level rise is made available to policy-makers and stakeholders","Demographic data,Vulnerability assessments","They are starting to be felt right now","Water supply infrastructure,Ecosystem health,Property values","Complete vulnerability assessments for all 9 counties,Pass local tax measures to address sea level rise,Establish a new regional authority to address sea level rise in the Bay Area","Sharing information with other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding new sea level rise-related projects jointly with other organizations","Insufficient human resources to analyze relevant information,Lack of experience collaborating with other organizations in the Bay Area,Lack of leadership within my organization","Too little","Resilient by Design","Stevens Creek","Bay restoration authority",NA,NA,"Don't know","Somewhat agree","For most decisions, most stakeholders can benefit as long as they can develop a common policy","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.",NA,NA,"Don't know","The available funding is not sufficient","Don't know",NA,NA,"5","3","7",NA,NA,"6","1","5",NA,NA,NA,NA
"30","R_3L5Mq797DhqJO5e","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of san leandro","Local government","Public Works Director","Executive management (i.e. top management),Policy analysis,Governmental affairs,Project management,Advocacy,Outreach/Communication",NA,"San Leandro","Well-informed","Somewhat informed","Somewhat concerned","Somewhat concerned","Low level of agreement concerning the risks","Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Creation of a single online platform where all available scientific information on sea level rise is made available to policy-makers and stakeholders","Flood risk maps,Sea level rise projections,Shoreline change data,Vulnerability assessments,Type of shoreline protection,Climate and weather information","By 2100","Water supply infrastructure,Availability of housing,Wastewater and storm water infrastructure","Lobby at the state or federal level for funding to help respond to sea level rise in California,Promote projects aimed at accommodating sea level rise with ""green"" infrastructure,Supporting local jurisdictions to respond to sea level rise threats as they see fit","Engaging in joint planning with other organizations,Preparing grant/funding proposals jointly with other organizations","Insufficient human resources to analyze relevant information,Uncertainty about the future extent of sea level rise,Lack of an overarching plan to address sea level rise in the Bay Area","Far too little","Resilient by Design",NA,NA,NA,NA,"Agree","Don't know","For most decisions, most stakeholders can benefit as long as they can develop a common policy",NA,NA,NA,NA,"The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,"7",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA
"31","R_bNsOLBhlxoxQkoh","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","R_2WuNcjCCE3VDFFA","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","R_3RwOyKN9JmataHa","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","R_2uZI86eKrxdwDKj","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","R_3fQ0i2BCESpP4Rc","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","R_3sgKQM7Ez9mEsP3","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","R_26aMdG70E5nBd1N","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","R_D0pjYG0uW2rwx3P","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","R_1CJzPZvcId2cowR","No involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","R_1Du6VX4rlkAlEr7","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","alameda creek alliance","Environmental Group","Volunteer and Restoration Coordinator","Project management,Advocacy,Outreach/Communication,Other (please explain in the text box): Community Organizing",NA,"Alameda","Somewhat informed","Somewhat informed","Somewhat concerned","Very concerned","Fairly high level of agreement concerning the risks","Scientists' participation in policy meetings,Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Training policy-makers in the basic science concerning sea level rise","Sea level rise projections,Vulnerability assessments","In the next few decades","Wastewater and storm water infrastructure,Coastal erosion,Transportation infrastructure","Complete vulnerability assessments for all 9 counties,Empowering an existing regional agency to address sea level rise in the Bay Area","Sharing information with other organizations,Other (please specify): Discussions that try to identify the policy and permitting constraints to taking action on sea level rise.","Lack of political leadership of elected officials,Permitting obstacles,Other (please explain): No government agencies are taking ownership of this issue.  For many affected agencies this issues falls outside of their mandate.","Neither too much nor too little","Resilient by Design","Adapting to Rising Tides",NA,NA,NA,"Strongly agree","Don't know","For most decisions, most stakeholders can benefit as long as they can develop a common policy","For most decisions, most stakeholders can benefit as long as they can develop a common policy",NA,NA,NA,"The time demands are too high",NA,NA,NA,NA,"9","9",NA,NA,NA,"3","2",NA,NA,NA,NA,"City of Newark, City of Fremont, City of Union City, Alameda County Public Works, Caltrans, 0, 0, Neutral, Unknown"
"41","R_1F3AG64ECy9S8V4","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","alameda county flood control and water conservation district","Water Infrastructure Special District","Consultant to the District","Executive management (i.e. top management)",NA,"San Leandro,East Bay Crescent,Mowry,Alameda,San Lorenzo","Very well-informed","Well-informed","Somewhat concerned","Very concerned","High level of agreement concerning the risks","Scientists' participation in policy meetings,Collaborative relationships between stakeholders and scientists working on Sea Level Rise,Training policy-makers in the basic science concerning sea level rise","Flood risk maps,Coastal geology map,Sea level rise projections,Demographic data,Vulnerability assessments,Climate and weather information,Water supply or water quality studies","They have been felt for a while already","Transportation infrastructure,Disadvantaged communities,Wastewater and storm water infrastructure: The ability of creeks, channels, and other flood control infrastructure to convey surface water into the Bay. ","Create a regional Sea Level Rise adaptation plan,Lobby at the state or federal level for funding to help respond to sea level rise in California,Develop faster/more efficient permitting processes that incorporate considerations of sea level rise","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations","Lack of an overarching plan to address sea level rise in the Bay Area,Other (please explain): Certain groups are trying to grandstand and assert their dominance in the planning and policy-making at the expense of other jurisdictions and agencies.  ","Neither too much nor too little","Resilient by Design","CHARG","Eden Landing Salt Pond Restoration EIR",NA,NA,"Somewhat agree","Somewhat agree","Although most stakeholders can benefit from most decisions, there is conflict over who will benefit most.","For most decisions, most stakeholders can benefit as long as they can develop a common policy","For most decisions, most stakeholders can benefit as long as they can develop a common policy",NA,NA,"The process is controlled by a few dominant stakeholders","Participants do not trust each other","The available funding is not sufficient",NA,NA,"4","5","8",NA,NA,"6","4","7",NA,NA,"DWR, California State Coastal Conservancy","USEPA, HUD, 0, 1, Positive, Unknown"
"42","R_1dlXC5DYgPjA0yd","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of petaluma","Local government","Director","Executive management (i.e. top management)",NA,"Napa - Sonoma,Petaluma","Well-informed","Somewhat informed","Somewhat concerned","Concerned","Fairly high level of agreement concerning the risks","Dissemination of scientific information in plain language to the general public,Dissemination of scientific information in plain language to policy stakeholders,Increase availability of data regarding sea level rise vulnerability","Flood risk maps,Sea level rise projections","In the next few decades","Transportation infrastructure,Wastewater and storm water infrastructure,Coastal erosion","Create a regional Sea Level Rise adaptation plan,Develop faster/more efficient permitting processes that incorporate considerations of sea level rise,Create a collaborative partnership between existing agencies and stakeholders (regional, county, local) to address sea level rise in the Bay Area","Engaging in joint planning with other organizations,Preparing grant/funding proposals jointly with other organizations","Insufficient financial resources,Lack of political leadership of elected officials,Permitting obstacles","Far too little","Beneficial sediment reuse from dredging of shallow channels of San Pablo Bay",NA,NA,NA,NA,"Agree","Disagree","For most decisions, most stakeholders can benefit as long as they can develop a common policy",NA,NA,NA,NA,"The available funding is not sufficient",NA,NA,NA,NA,"8",NA,NA,NA,NA,"9",NA,NA,NA,NA,"California Coastal Commission",NA
