"","ResponseId","involve","org","org_type","title","informShort","informLong","concernShort","concernLong","agree","science","impact","top_sector","policy","collabActivities","barriers","forum_1","forum_2","forum_3","forum_4","forum_5","forumImpact_1","forumImpact_2","forumImpact_3","forumImpact_4","forumImpact_5","forumGoals_1","forumGoals_2","forumGoals_3","forumGoals_4","forumGoals_5","forumProgress_1","forumProgress_2","forumProgress_3","forumProgress_4","forumProgress_5","forumFairness_1","forumFairness_2","forumFairness_3","forumFairness_4","forumFairness_5","forumProcess_1","forumProcess_2","forumProcess_3","forumProcess_4","forumProcess_5","forumBarriers_1","forumBarriers_2","forumBarriers_3","forumBarriers_4","forumBarriers_5","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"13","R_W27Qy1pYbAeVIHf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","R_3JfIh4jA0g4OjrW","A part of my work, with routine involvement","hampton roads planning district commission","regional government","Senior Water Resources Planner","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Availability of a source of translation of scientific knowledge into cost estimates,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Disadvantaged communities ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Organizing public meetings jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ","Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","R_6FNtyjaJXcy8nHr","A major aspect of my work for more than 5 years","arcadis u.s.","trade/business/industry group","Senior Vice President, Mid-Atlantic Area Lead for Resilience Water","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High","Scientists’ participation into policy meeting,Increased public availability of scientific knowledge,Other: Implementation of a highly-visible, well-endorsed public communications campaign emphasizing a consistent message about SLR / climate change impacts in the Hampton Roads area and Mid-Atlantic region with actionable steps (focused on direct effect) and consequences of a do-nothing approach - what is happening now, what we can do about it, that there is a groundswell of support and everyone needs to do their part to make a difference","They have been felt for a while already","Waste and storm water infrastructure ,Ecosystems health ,Public health ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Strengthen existing regional authority to address sea-level rise in the area,Other: Bring the private sector and federal government to the table to help develop and implement multi-disciplinary, multi-faceted, regional solutions","Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ","Dutch Dialogues","Adaptation Forums","Coastal Resilience Working Group","Portsmouth Resilience Planning","Norfolk Office of Resilience","5","5","5","5","5","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","5","5","5","5","5","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Lack of resources","The initiative lacks authority to produce binding decisions,Lack of resources","The initiative lacks authority to produce binding decisions,Lack of resources","Participants did not share common views,Lack of resources","Lack of resources",NA,NA,NA,NA,NA
"16","R_3EMs1U30gkwpLp4","A major aspect of my work for 1-5 years","city of hampton","local government","Chief Neighborhood Devlopment Specialist","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Fairly High","Scientists’ participation into policy meeting,Update existing reports on Sea Level Rise for the whole Hampton Roads Area,Stakeholder agreement on the interpretation of scientific information","By 2100","Energy infrastructure ,Disadvantaged communities ,Availability of housing  ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects with different or innovative design solutions  ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Training personnel from other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Signing a formal agreement with another organization  ","Scarce budgetary/staff resources ,Lack of availability of adequate scientific information ,Lack of an overarching plan ","Hampton Dutch Dialogues 2021","Area Resiliency Plans","Consultant Assistance with Resiliency Plans","Rain Barrel and Similar Programs",NA,"9","7","7","5",NA,"Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,"Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree",NA,"9","8","8","7",NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","For most decisions, one group’s gain involves another group’s loss.","Don't know",NA,"The time demands were too high,The process was controlled by a few dominant stakeholders,Lack of resources","Participants didn't attend meetings often enough,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","Participants did not share common views,Lack of resources",NA,"FEMA","DEQ","CBA",NA,NA
"17","R_2s4rQ2jF9udXivm","A major aspect of my work for more than 5 years","city of hampton","local government","Senior Civil Engineer/Project Manager","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Very Low","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Availability of a source of translation of scientific knowledge into cost estimates","They have been felt for a while already","Commercial developments ,Economic growth ,Property values  ","Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Promote projects with different or innovative design solutions  ,Support local jurisdictions to respond to sea-level rise threats as they see fit ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Preparing grant/funding proposals jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Uncertainty about how quickly sea level rise will happen ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ","Dutch Dialogues","HR Adaptation Forum","VA Coastal Resilience Master Plan","Living Shoreline Collaborative",NA,"8","7","8","7",NA,"Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree",NA,"10","6","6","8",NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"The time demands were too high,The initiative lacks authority to produce binding decisions","The initiative lacks authority to produce binding decisions,There were no identifiable barriers","Participants did not share common views,The process was controlled by a few dominant stakeholders,Lack of resources,There were no identifiable barriers","The initiative lacks authority to produce binding decisions,There were no identifiable barriers",NA,"USACE
FEMA","DCR
DEQ
VDEM","Hampton, Norfolk, Newport News, HRPDC","ODU, VIMS, wetlands Watch, James River Association, Elizabeth River Partnership",NA
"18","R_Y6vMFoWrJE8EZr3","A part of my work, with occasional involvement","hampton roads center for civic engagement","other: nonprofit advocacy group","Chair (former)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Update existing reports on Sea Level Rise for the whole Hampton Roads Area","They have been felt for a while already","Transportation infrastructure ,Ecosystems health ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Pass a tax measure at the local/regional/state level to address sea-level rise,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Other: Provding information to the region's residents and other stakeholders regarding implications, solutions and process for input from the public","Lack of political leadership of elected officials ,Lack of public support for policies addressing Sea Level Rise ,Other: Lack of public appreciation for the seriousness of this issue. Also lack of interest among stakeholders in including the public in their deliberations. ","ODU White House initiative","ODU sea grant presentations","ODU/VIMS/W&M programs",NA,NA,"6","4","4",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"5","5","5",NA,NA,"Don't know","Don't know","Don't know",NA,NA,"Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","There were no identifiable barriers","There were no identifiable barriers",NA,NA,"None","None","None","None",NA
"19","R_1otHfY2ZVz7hKLQ","A part of my work, with occasional involvement","wetlands watch","other","Board member","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very Low","Scientists’ participation into policy meeting,Stakeholder agreement on the interpretation of scientific information,Other","They have been felt for a while already","Waste and storm water infrastructure ,Ecosystems health ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Establish a new regional authority to address sea-level rise in the area ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Training personnel from other organizations ,Preparing grant/funding proposals jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Joining or supporting litigation or other judicial processes ,Carrying out advocacy activities jointly with other organizations ","Lack of political leadership of elected officials ,Lack of public support for policies addressing Sea Level Rise ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","R_33jSlNP8Q0J5nut","A part of my work, with routine involvement","elizabeth river project","environmental group","Deputy Director, Education","Well-Informed","Well-Informed","Concerned","Very Concerned","Not Very High","Scientists’ participation into policy meeting,Update existing reports on Sea Level Rise for the whole Hampton Roads Area,Increased funding for research practice and hirings in local government","They have been felt for a while already","Water supply infrastructure ,Waste and storm water infrastructure ,Property values  ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Promote projects with different or innovative design solutions  ","Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ","Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Lack of an overarching plan ","Elizabeth River Watershed Plan","Hampton Roads Adaptation Forum","Environmental Literacy Grants",NA,NA,"3","4","4",NA,NA,"Somewhat Agree","Somewhat Disagree","Strongly Disagree",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"7","7","7",NA,NA,"Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Don't know",NA,NA,"Participants didn't attend meetings often enough,Participants did not share common views,The time demands were too high,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,The procedures were confusing","Participants didn't attend meetings often enough,The initiative lacks authority to produce binding decisions","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,"NOAA, National Fish and Wildlife, Dept. Conservation and Recreation",NA,"Local City Governments, Hampton Roads Sanitation District","Nonprofit River Restorations and Wetland Restorations",NA
"21","R_1oaRSRUetmRA3wq","A part of my work, with routine involvement","old dominion university","education/consulting/research","Adjunct Professor ","Well-Informed","Well-Informed","Concerned","Very Concerned","High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Pass a tax measure at the local/regional/state level to address sea-level rise","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ","Lack of public support for policies addressing Sea Level Rise ,Lack of relationships with community-based organizations ","Hampton Roads Adaptation Forum",NA,NA,NA,NA,"3",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"5",NA,NA,NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,NA,NA,NA,"The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","R_3X9JJUTZluC76Cd","A major aspect of my work for more than 5 years","old dominion university","education/consulting/research","Professor Emeritus, Department of Civil and Environmental Engineering, Director, Coastal Engineering Centre","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very Low","Creation of a single platform of available scientific information,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Waste and storm water infrastructure ,Property values  ,Other: storm damage mitigation infrastructure","Pass a tax measure at the local/regional/state level to address sea-level rise,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions,Other: Sea Level Rise (SLR) Planning in Hampton Roads (HR) Virginia Flooding knows NO political boundaries. SLR will increase frequency and level of flood damage. Virginia has NO state flood planning authority/agency. SLR planning in HR will NEVER succeed until Virginia establishes a flood planning authority at the state level.","Sharing information with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Lack of an overarching plan ,Other: Sea Level Rise (SLR) Planning in Hampton Roads (HR) Virginia Flooding knows NO political boundaries. SLR will increase frequency and level of flood damage. Virginia has NO state flood planning authority/agency. SLR planning in HR will NEVER succeed until Virginia establishes a flood planning authority at the state level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corps of Engineers",NA,NA,"Journals and conferences on Coastal Engineering","Sea Level Rise (SLR) Planning in Hampton Roads (HR) Virginia
Flooding knows NO political boundaries. SLR will increase frequency and level of flood damage.
Virginia has NO state flood planning authority/agency.
SLR planning in HR will NEVER succeed until Virginia establishes a flood planning authority at the state level."
"23","R_30qqD3jWaTQEW5i","A part of my work, with routine involvement","virginia department of transportation","state government","Emergency Planning Manager","Well-Informed","Well-Informed","Somewhat Concerned","Very Concerned","Fairly High","Scientists’ participation into policy meeting,Creation of a single platform of available scientific information,Availability of a source of translation of scientific knowledge into cost estimates","They are starting to be felt right now","Waste and storm water infrastructure ,Disadvantaged communities ,Economic growth ","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Other: Development of Resiliency Plan",NA,"Hampton Roads Adaptation Forum","NCHRP Floodcast (Dewberry led)","Agency Resiliency Plan","VIMS Lifelines Analysis",NA,"6","5","7","5",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"I Don't Know","Somewhat Disagree","Somewhat Agree","I Don't Know",NA,"10","10","8","9",NA,"Don't know","Don't know","Don't know","Don't know",NA,"The initiative lacks authority to produce binding decisions","Participants didn't attend meetings often enough,There is too much scientific uncertainty,Other: Difficult to conceptualize the usefulness of end product",NA,NA,NA,NA,NA,NA,"NHCRP - TRB - Committee on Transportation System Security and Resilience (CTSSR); VIMS; Dewberry as part of NHCRP project",NA
