"","ResponseId","involvement","primary_org","org_type_assigned","tasks","sector","scale","scale_location","land_use","years","concern_25_slr","concern_25_heat","concern_25_flood","concern_25_drought","concern_25_fire","concern_25_smoke","concern_25_aq","concern_25_wq","concern_2100_slr","concern_2100_heat","concern_2100_flood","concern_2100_drought","concern_2100_fire","concern_2100_smoke","concern_2100_aq","concern_2100_wq","top_sector","app","collab_acts","barriers","str_fl1","str_fl2","str_fl3","str_fl4","str_fl5","str_fl6","str_fl_o","str_eco1","str_eco2","str_eco3","str_eco4","str_eco_o","str_ag1","str_ag2","str_ag3","str_ag4","str_ag_o","str_ws1","str_ws2","str_ws3","str_ws4","str_ws5","str_ws_o","funding_fed","funding_state","funding_reg","funding_local","funding_phil","funding_dist","funding_tax","funding_o","forum_art","forum_baycan","forum_crc","forum_da","forum_sfep","forum_ccccl","forum_ccse","forum_sccc","forum_rpp","forum_sr","forum_sjrcc","forum_sbrr","forum_yccac","forum_ycrrc","forum_ryc","forum_involvement_o","forum_rank_art","forum_rank_baycan","forum_rank_crc","forum_rank_da","forum_rank_sfep","forum_rank_ccccl","forum_rank_ccse","forum_rank_sccc","forum_rank_rpp","forum_rank_sr","forum_rank_sjrcc","forum_rank_sbrr","forum_rank_yccac","forum_rank_ycrrc","forum_rank_ryc","forum_rank_o","forum1_learn_art","forum1_learn_baycan","forum1_learn_crc","forum1_learn_da","forum1_learn_sfep","forum1_learn_ccccl","forum1_learn_ccse","forum1_learn_sccc","forum1_learn_rpp","forum1_learn_sr","forum1_learn_sjrcc","forum1_learn_sbrr","forum1_learn_yccac","forum1_learn_ycrrc","forum1_learn_ryc","forum_learn_o","forum2_action_art","forum2_action_baycan","forum2_action_crc","forum2_action_da","forum2_action_sfep","forum2_action_ccccl","forum2_action_ccse","forum2_action_sccc","forum2_action_rpp","forum2_action_sr","forum2_action_sjrcc","forum2_action_sbrr","forum2_action_yccac","forum2_action_ycrrc","forum2_action_ryc","forum_action_o","forum_sat_1","forum_sat_2","forum_sat_3","forum_sat_4","forum_sat_5","forum_sat_6","forum_sat_7","forum_sat_8","forum_sat_9","forum_sat_10","forum_sat_11","forum_pa_1","forum_pa_2","forum_pa_3","forum_pa_4","forum_pa_5","forum_pa_6","forum_pa_7","forum_pa_8","missing_collab","missing_org_name._1","missing_org_name._2","missing_org_name._3","missing_org_name._4","missing_org_name._5"
"41","R_1gRWr0KnY7MTVIq","A part of my work, with occasional involvement","Dixon Resource Conservation District","enviro_sd","Executive management 
(i.e. top management); Policy advising/analysis; Government relations; Project or program management; Outreach or communication; Service provision","Agriculture; Waste and stormwater management; Flood management","Community","Cache Slough and Yolo Bypass","Rural",20,"Moderately concerned","Moderately concerned","Very concerned","Very concerned","Somewhat concerned","Moderately concerned","Somewhat concerned","Moderately concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Agricultural industry; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Select the best adaptation options to implement; Implement chosen adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Other","Insufficient financial resources; Unequal capacity of partners to participate in collaborative planning","High priority","High priority","Low priority","High priority","High priority","High priority","High priority: Regional financial commitment to local infrastructure.  Enforcement of landuse policies for development that impacts infrastructure.","Medium priority","Medium priority","Low priority","Low priority",NA,"Medium priority","Medium priority","Low priority","Low priority","High priority: Financial resources put toward infrastructuture to support the remaining agriculture","High priority","High priority","High priority","High priority","Medium priority",NA,"Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount",NA,"No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Not effective",NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,NA,NA,"Very dissatisfied","Somewhat dissatisfied","Neutral","Somewhat dissatisfied","Very dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neutral","Neutral","Very dissatisfied","Neutral","Somewhat dissatisfied","Somewhat satisfied","Somewhat dissatisfied","I'm not sure","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Yes ","Federal Flood Control Agencies","","","",""
"42","R_1gbxkOmNdk24VWV","A part of my work, with occasional involvement","Ironhouse Sanitary District","water_sd","Executive management 
(i.e. top management)","Energy; Public health; Waste and stormwater management","Community","Oakley, Bethel Island and Jersey Island","Rural; Urban",NA,"Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Ecosystem health; Flood management; Water supply reliability","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"43","R_1h5X8I9rozopgLn","A part of my work, with occasional involvement","Regional Water Authority","mj_entity","Government relations","Economic development; Ecosystem management; Environmental justice; Public health; Water supply; Waste and stormwater management; Flood management","Region","Region 1","Suburban; Urban",7,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Ecosystem health; Biodiversity; Water supply reliability","Develop models/data about how the local climate will change; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","; Nothing","Competing visions for adaptation pathways","Medium priority","Low priority","High priority","High priority","High priority","Medium priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","Medium priority","High priority",NA,"Low priority","High priority","Medium priority","High priority","Medium priority",NA,"Increase a large amount","Increase a large amount","Increase a small amount","Increase a small amount","Increase a small amount","Increase a moderate amount","Increase a moderate amount",NA,"No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Very dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat dissatisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Somewhat dissatisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Yes ","","","","",""
"44","R_1jiIrX5u2j0ephH","A part of my work, with occasional involvement","Yolo County Farm Bureau","ag_entity","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Government relations; Advocacy; Outreach or communication","Agriculture","County","Yolo","Rural",1,"Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Agricultural industry; Flood management; Water supply reliability","","Sharing information with other organizations","Lack of agreement about the future extent of climate impacts; Other","High priority","High priority","Low priority","High priority","High priority","Low priority",NA,"Low priority","Low priority","Low priority","Low priority",NA,"Low priority","High priority","Medium priority","Low priority","all depends on the specifics","Medium priority","High priority","High priority","Low priority","Low priority",NA,"Increase a moderate amount","Increase a large amount","No increase/Stay the same","No increase/Stay the same","No increase/Stay the same","No increase/Stay the same","No increase/Stay the same",NA,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,"Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A little effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"45","R_1jjjlZ5zTcZKYUM","A part of my work, with occasional involvement","Unknown_293",NA,"Technical advising/analysis","Community development","Community","West Sacramento, Yolo County","Suburban",3,"Moderately concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned",NA,"Moderately concerned","Moderately concerned","Moderately concerned","Somewhat concerned","Moderately concerned","Moderately concerned","Moderately concerned","Ecosystem health; Public health; Agricultural industry","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"46","R_1jsHngnZqvDFJU5","A major aspect of my work for more than 5 years","Metropolitan Water District Of Southern California","water_sd","Technical advising/analysis; Planning and design; Scientific research; Project or program management; Outreach or communication","Agriculture; Ecosystem management","Region","Region 2; Region 3; Region 4","Rural",30,"Moderately concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Moderately concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Very concerned","Ecosystem health; Agricultural industry; Water supply reliability","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Communicate climate risks and adaptation opportunities","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Preparing grant/funding proposals jointly with other organizations","Permitting obstacles","Low priority","Medium priority","High priority","Low priority","Low priority","High priority",NA,"High priority","High priority","High priority","Low priority",NA,"High priority","Low priority","Medium priority","High priority",NA,"Medium priority","High priority","Medium priority","High priority","Low priority",NA,"No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion",NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Neutral","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neutral","Somewhat dissatisfied","Neutral","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","No","","","","",""
"47","R_1kOZYTYhv8Ajf1L","A part of my work, with occasional involvement","Ksn Engineering, Inc.","ecr","Prefer not to say","Flood management","County","Contra Costa; Sacramento; San Joaquin; Solano; Yolo","Rural",10,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Energy infrastructure; Economic growth; Water supply reliability","Develop potential adaptation options; Analyze and synthesize data to evaluate the adaptation solutions","; Nothing","Lack of political leadership; Competing visions for adaptation pathways; Unequal capacity of partners to participate in collaborative planning","High priority","High priority","Low priority","High priority","High priority","Medium priority",NA,"Low priority","Low priority","Medium priority","Low priority",NA,"High priority","High priority","Low priority","Low priority",NA,"High priority","High priority","Low priority","High priority","High priority",NA,"No increase/Stay the same","Increase a large amount","Increase a moderate amount","Increase a small amount","No opinion","No increase/Stay the same","No increase/Stay the same",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes ","NOAA","","","",""
"48","R_1mDjHmFSoixBa7f","A part of my work, with occasional involvement","Hdr Engineering","ecr","Technical advising/analysis; Scientific research; Project or program management; Outreach or communication","Ecosystem management; Water supply; Flood management","Region","Region 1; Region 2","Rural; Suburban; Urban",5,"Very concerned","Very concerned","Moderately concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Ecosystem health; Public health; Water supply reliability","Identify how climate change will impact the natural/built environment; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts","Implementing projects jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Streamlining permitting applications jointly with other organizations; Sharing personnel with other organizations; Joining or supporting litigation or other judicial processes; Other","Adaptation is not my organization’s main focus; Permitting obstacles; Lack of effective collaboration among interested parties","Medium priority","High priority","High priority","Medium priority","High priority","Low priority",NA,"High priority","High priority","Medium priority","Low priority",NA,"High priority","High priority","Low priority","Medium priority",NA,"Medium priority","High priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a small amount","No opinion","No opinion","No opinion",NA,"No","No","No","No","Yes","No","No","No","No","No","No","No",NA,"Yes",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"Very effective",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes ","Lots","","","",""
"49","R_1mlqozqwxrL1WXc","A part of my work, with occasional involvement","Unknown_217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"50","R_1nYCvPVJvfl4h7b","A part of my work, with routine involvement","San Joaquin County","local_gov","Executive management 
(i.e. top management); Project or program management; Outreach or communication","Emergency management","County","San Joaquin","Rural; Suburban; Urban",5,"Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Public health; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Analyze adaptation options’ ability to address climate impacts of concern; Monitor the effects of different adaptation solutions; Communicate climate risks and adaptation opportunities","Implementing projects jointly with other organizations; Carrying out research projects jointly with other organizations; Sharing information with other organizations; Training personnel from other organizations; Preparing grant/funding proposals jointly with other organizations","Lack of agreement about the future extent of climate impacts; Competing visions for adaptation pathways","High priority","High priority","Medium priority","High priority","Medium priority","Medium priority",NA,"Medium priority","Medium priority","Medium priority","Medium priority",NA,"Medium priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","High priority","Medium priority","Medium priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount","Increase a small amount","Increase a small amount","Increase a small amount",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"51","R_1oH2hGH5szC1YAZ","A major aspect of my work for more than 5 years","United States Geological Survey","fed_gov","Executive management 
(i.e. top management)","Ecosystem management; Water supply","Multiple",NA,"Rural",20,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Water supply reliability","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Analyze adaptation options’ ability to address climate impacts of concern; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Competing visions for adaptation pathways; Limited capacity for community engagement; Insufficient financial resources","High priority","No opinion","High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority","High priority","High priority","Increase a large amount","Increase a large amount","Increase a large amount","Increase a small amount","Increase a large amount","Increase a small amount","Increase a small amount",NA,"No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective","Very effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Yes ","","","","",""
"52","R_1ocj3oViByz7YJU","A part of my work, with routine involvement","Delta Stewardship Council","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication","Agriculture; Economic development; Ecosystem management; Environmental justice; Community development; Water supply; Flood management","State",NA,"Rural; Suburban",3,"Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Environmental justice 
communities; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations","Lack of public support for climate adaptation; Competing visions for adaptation pathways; Insufficient financial resources","High priority","High priority","High priority","High priority","High priority","High priority",NA,"High priority","Medium priority","High priority","Medium priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount",NA,"No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective","Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied",NA,NA,"Somewhat satisfied",NA,"Somewhat satisfied","Somewhat satisfied",NA,"Yes ","U.S. Army Corps of Engineers","","","",""
"53","R_1sApBQ1NZKNiHvP","A part of my work, with occasional involvement","University Of California Davis","ecr","Policy advising/analysis; Planning and design; Scientific research; Advocacy; Outreach or communication","Agriculture; Energy; Water supply","State",NA,"Rural",6,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Moderately concerned","Very concerned","Very concerned","Somewhat concerned","Ecosystem health; Agricultural industry; Flood management","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Select the best adaptation options to implement; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts","Implementing projects jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Limited capacity to acquire funding; Insufficient financial resources","High priority","Medium priority","Low priority","Medium priority","High priority","High priority",NA,"Low priority","Medium priority","High priority","Low priority",NA,"High priority","Low priority","High priority","Low priority",NA,"Low priority","High priority","High priority","Medium priority","Low priority",NA,"Increase a moderate amount","Increase a large amount","Increase a small amount","Increase a small amount","Increase a large amount","Increase a small amount","No opinion",NA,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not sure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"54","R_1tbTW8iXIrBo9dF","A part of my work, with occasional involvement","California Department Of Water Resources","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Scientific research; Project or program management; Advocacy; Outreach or communication","Agriculture; Economic development; Ecosystem management; Environmental justice; Emergency management; Community development; Waste and stormwater management; Finance; Flood management","State",NA,"Rural; Suburban; Urban",25,"Very concerned","Moderately concerned","Very concerned","Not at all concerned","Not at all concerned","Somewhat concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Unsure","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Ecosystem health; Flood management; Biodiversity","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Implement chosen adaptation solutions; Monitor the effects of different adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Preparing grant/funding proposals jointly with other organizations; Joining or supporting litigation or other judicial processes","Lack of political leadership; Competing visions for adaptation pathways; Insufficient financial resources","Low priority","Medium priority","High priority","High priority","Low priority","High priority",NA,"High priority","Medium priority","Low priority","Medium priority",NA,"High priority","Medium priority","Medium priority","High priority",NA,"Medium priority","Medium priority","Medium priority","Medium priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a large amount","Increase a small amount","Increase a moderate amount","Increase a large amount",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
